zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income
95527,42396.0,556,282,410,5.1,0.0,282,40.93593,-123.41966,4.8,,374200.0,8.83
95528,56250.0,996,422,530,3.3,10.9,422,40.4936,-123.92393,5.1,889.0,482100.0,8.57
95531,46282.0,23223,7947,8860,2.0,4.5,7947,41.79288,-124.00473,5.4,1176.0,290400.0,6.27
95536,51424.0,2753,1177,1360,1.3,0.7,1177,40.51069,-124.26547,6.1,1178.0,527900.0,10.27
95537,,313,144,144,0.0,0.0,144,40.745,-124.21472,5.0,,237500.0,
95540,46302.0,14055,5588,5972,1.6,4.8,5588,40.56671,-124.12651,5.0,1122.0,349400.0,7.55
95542,31055.0,2519,1158,1411,1.3,5.5,1158,40.08074,-123.77369,4.5,1187.0,393200.0,12.66
95543,35855.0,738,347,417,1.1,4.2,347,41.88847,-123.80238,4.5,880.0,,
95545,,170,95,117,1.8,2.4,95,40.26159,-124.08599,5.3,,466300.0,
95546,34375.0,3641,1188,1260,0.0,3.6,1188,41.18777,-123.74535,4.6,625.0,256300.0,7.46
95547,55577.0,1270,490,519,0.8,10.8,490,40.56952,-124.07751,5.2,1044.0,484700.0,8.72
95548,36125.0,1205,440,588,1.7,13.6,440,41.58633,-124.05859,4.9,963.0,240900.0,6.67
95549,70469.0,898,349,391,2.1,6.0,349,40.65838,-123.89485,5.3,1889.0,639300.0,9.07
95550,,151,50,67,0.0,12.5,50,40.77695,-123.82951,4.5,,738600.0,
95551,53077.0,1871,680,737,1.7,8.4,680,40.66977,-124.21961,5.6,1224.0,474100.0,8.93
95552,27056.0,552,264,516,0.9,2.4,264,40.34899,-123.42248,3.6,416.0,240300.0,8.88
95553,,1054,449,583,5.0,5.8,449,40.22981,-123.87133,3.4,1123.0,,
95554,62639.0,297,150,186,0.0,2.5,150,40.27573,-123.78414,5.1,,,
95555,32083.0,415,181,221,0.0,9.6,181,41.29519,-123.97774,3.9,700.0,380000.0,11.84
95556,39300.0,650,275,327,3.4,10.1,275,41.31444,-123.59043,4.0,763.0,337000.0,8.58
95558,40000.0,548,211,276,2.0,5.6,211,40.32673,-124.24017,3.6,,1041700.0,26.04
95559,,163,67,91,5.9,0.0,67,40.18977,-123.7512,3.2,,,
95560,78566.0,1548,636,759,1.1,5.2,636,40.14606,-123.83816,4.1,,385500.0,4.91
