zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income
95816,65292.0,18606,10342,11162,1.2,5.7,10342,38.57555,-121.46543,4.0,1521.0,743500.0,11.39
95817,45410.0,14270,6392,6752,1.8,3.8,6392,38.55057,-121.45713,4.3,1401.0,455300.0,10.03
95818,80938.0,22375,10322,10998,1.9,4.3,10322,38.55579,-121.49669,5.3,1469.0,731200.0,9.03
95819,104414.0,20812,7858,8303,0.9,4.1,7858,38.56816,-121.43772,5.5,1934.0,689500.0,6.6
95820,50031.0,36848,13169,13758,1.3,2.6,13169,38.53491,-121.4442,5.0,1496.0,373800.0,7.47
95821,42290.0,39310,15653,16293,1.3,3.7,15653,38.62541,-121.38479,4.5,1283.0,428700.0,10.14
95822,54552.0,45215,16239,16864,0.8,2.9,16239,38.51273,-121.49556,5.3,1505.0,401100.0,7.35
95823,44981.0,81212,24252,25157,0.9,3.9,24252,38.47473,-121.44266,5.0,1429.0,340600.0,7.57
95824,33986.0,31524,9235,9605,1.2,2.8,9235,38.51746,-121.44147,4.7,1283.0,297700.0,8.76
95825,37956.0,36081,16308,17247,1.5,4.5,16308,38.5901,-121.40644,4.0,1437.0,406500.0,10.71
95826,62527.0,39902,15984,16636,0.6,4.8,15984,38.54554,-121.37885,5.1,1622.0,408100.0,6.53
95827,56064.0,21566,7590,7846,1.1,3.5,7590,38.55151,-121.3253,5.3,1723.0,378600.0,6.75
95828,51229.0,63116,18732,19128,0.8,1.7,18732,38.48943,-121.39598,5.4,1602.0,356200.0,6.95
95829,86483.0,32123,9492,9713,0.9,1.3,9492,38.48759,-121.33326,6.2,1965.0,528300.0,6.11
95830,80278.0,1015,276,313,1.7,12.9,276,38.49415,-121.27229,6.8,,927800.0,11.56
95831,75632.0,43099,18644,19466,0.8,5.4,18644,38.49599,-121.52948,5.5,1762.0,575200.0,7.61
95832,44811.0,11930,3101,3206,1.1,3.1,3101,38.43979,-121.49888,5.3,1782.0,359300.0,8.02
95833,60455.0,40195,14864,15420,1.2,3.4,14864,38.61529,-121.51558,4.9,1736.0,402100.0,6.65
95834,63228.0,35617,12642,13112,1.6,3.2,12642,38.64207,-121.51967,4.9,1665.0,474500.0,7.5
95835,96743.0,41399,14295,14763,0.9,3.4,14295,38.67088,-121.52464,6.0,2082.0,531900.0,5.5
95837,242557.0,242,109,124,0.0,15.8,109,38.68925,-121.59537,5.9,2575.0,1069400.0,4.41
95838,44849.0,41340,11682,12110,1.6,2.8,11682,38.64708,-121.44312,5.2,1462.0,322500.0,7.19
95841,47215.0,21873,8643,8959,0.8,3.8,8643,38.66031,-121.34812,4.6,1456.0,388200.0,8.22
95842,50412.0,34196,11903,12162,0.7,1.9,11903,38.687,-121.34889,4.9,1496.0,343400.0,6.81
95843,78102.0,48234,14793,15045,0.5,2.5,14793,38.71532,-121.36366,5.9,1936.0,432300.0,5.54
95864,101446.0,24249,9745,10193,1.0,4.8,9745,38.58512,-121.37655,6.2,1735.0,717700.0,7.07
95901,49759.0,35840,12224,13047,1.5,4.6,12224,39.2225,-121.48855,5.2,1054.0,328800.0,6.61
95903,45250.0,2412,683,1310,0.0,0.0,683,39.11337,-121.37192,5.1,2371.0,,
95910,,64,32,49,0.0,0.0,32,39.46742,-120.83158,4.3,,118600.0,
95912,68590.0,4942,1493,1604,0.9,1.6,1493,39.0016,-122.07462,5.7,979.0,398000.0,5.8
95914,,693,304,340,2.6,2.5,304,39.40756,-121.37878,4.9,1259.0,378800.0,
95915,,52,26,41,0.0,0.0,26,39.97926,-121.21492,3.0,,,
95916,32273.0,1680,768,999,2.8,7.6,768,39.65945,-121.37375,4.6,858.0,229800.0,7.12
95917,57917.0,3264,1130,1203,1.4,4.5,1130,39.42392,-121.77178,5.5,1458.0,292200.0,5.05
95918,79152.0,2259,889,984,1.7,2.7,889,39.301,-121.34547,6.0,,572500.0,7.23
95919,46995.0,1411,594,696,2.8,3.3,594,39.43445,-121.26554,5.3,,323400.0,6.88
95920,46250.0,267,92,120,3.9,0.0,92,39.46071,-121.93702,5.2,584.0,412500.0,8.92
95922,59531.0,666,305,381,0.4,9.0,305,39.47033,-121.07736,4.8,990.0,284500.0,4.78
95923,,53,28,205,0.0,100.0,28,40.18385,-121.13672,5.2,,1076400.0,
95925,22669.0,281,99,147,6.2,4.2,99,39.46798,-121.18006,2.6,,,
95926,45782.0,41259,16706,17759,1.0,4.1,16706,39.74573,-121.84396,4.9,1367.0,433500.0,9.47
95928,47599.0,38378,16121,17392,0.8,6.3,16121,39.68317,-121.83528,5.0,1346.0,451600.0,9.49
95930,,253,103,184,1.3,0.0,103,39.54679,-121.1606,4.3,,,
95932,50551.0,7832,2833,3073,1.2,5.4,2833,39.26839,-122.00426,5.4,1024.0,349400.0,6.91
95934,,322,133,156,1.1,0.0,133,40.07463,-120.93108,4.7,,,
95935,,750,314,367,2.7,8.8,314,39.37369,-121.19615,4.6,,372000.0,
95936,21250.0,361,158,275,0.0,14.0,158,39.56336,-120.79279,5.5,,1048100.0,49.32
95937,49095.0,1554,554,585,0.7,2.7,554,38.88403,-121.99847,5.0,670.0,,
95938,82097.0,3740,1446,1520,0.6,5.2,1446,39.60504,-121.79708,6.2,1382.0,543700.0,6.62
95939,34375.0,545,197,247,3.6,11.1,197,39.56755,-122.60224,4.9,800.0,295800.0,8.61
95941,,480,222,247,0.0,0.0,222,39.5588,-121.24157,5.1,,259800.0,
95942,,1576,699,1020,2.9,1.3,699,39.98954,-121.58872,6.3,,482400.0,
95943,58309.0,774,311,343,0.6,7.0,311,39.57692,-122.0367,6.0,886.0,475000.0,8.15
95944,,45,22,30,0.0,0.0,22,39.53482,-120.86159,,,,
95945,46771.0,26302,11409,12297,1.2,4.3,11409,39.19426,-120.98199,4.9,1309.0,474100.0,10.14
95946,65500.0,9964,4211,4750,2.5,4.4,4211,39.21052,-121.20467,6.0,2044.0,500100.0,7.64
95947,42277.0,1583,777,972,4.7,4.5,777,40.15942,-120.84409,5.1,777.0,304300.0,7.2
95948,53438.0,11603,3858,4135,1.4,3.7,3858,39.34289,-121.75818,5.4,1137.0,321900.0,6.02
95949,67873.0,20720,8585,9211,1.5,3.8,8585,39.102,-121.13343,5.9,1695.0,508300.0,7.49
95950,31731.0,413,156,169,0.0,1.1,156,39.05144,-121.92196,6.2,1175.0,,
95951,43688.0,2385,725,751,0.0,2.4,725,39.71473,-122.00197,5.5,843.0,289800.0,6.63
95953,57556.0,11357,3545,3708,0.4,3.3,3545,39.25018,-121.77309,5.5,819.0,321900.0,5.59
95954,47563.0,8556,3402,3870,2.9,4.8,3402,39.94916,-121.54088,5.5,1153.0,247900.0,5.21
95955,67875.0,1403,489,542,0.4,3.6,489,39.29657,-122.20454,5.0,1179.0,291900.0,4.3
95956,110625.0,458,237,488,2.5,0.0,237,39.8751,-121.12209,5.0,,292600.0,2.64
95957,60625.0,669,289,314,2.9,4.7,289,39.05366,-121.82379,5.3,937.0,291900.0,4.81
95959,60985.0,18621,7891,8925,1.3,3.5,7891,39.34509,-120.86797,5.5,1719.0,562900.0,9.23
95960,46591.0,762,312,384,0.5,8.6,312,39.39121,-121.0583,4.3,744.0,367900.0,7.9
95961,52728.0,30717,9075,9580,2.4,3.9,9075,39.03343,-121.55754,5.6,1218.0,358100.0,6.79
95962,97523.0,1316,627,668,1.8,0.0,627,39.32669,-121.26876,6.2,,368200.0,3.78
95963,47205.0,16250,5673,5968,0.8,3.2,5673,39.73682,-122.30329,5.2,987.0,320600.0,6.79
95965,33561.0,21548,7497,8219,1.7,4.5,7497,39.59169,-121.59034,4.8,1059.0,258500.0,7.7
95966,44381.0,31591,12057,13255,2.0,5.2,12057,39.47332,-121.43284,5.2,1073.0,285100.0,6.42
95968,27195.0,1512,518,552,0.0,5.0,518,39.43514,-121.55179,4.8,1018.0,119400.0,4.39
95969,48717.0,5710,2554,2910,1.8,7.0,2554,39.72178,-121.63388,5.1,1158.0,354700.0,7.28
95970,50188.0,535,191,235,0.9,7.3,191,39.41159,-122.05176,5.9,1138.0,458300.0,9.13
95971,49614.0,5672,2563,2880,1.5,3.8,2563,39.92895,-120.91608,5.1,1309.0,287800.0,5.8
95973,64517.0,39609,15865,16478,1.3,2.6,15865,39.88099,-121.8516,5.2,1394.0,464400.0,7.2
95974,,142,50,55,0.0,0.0,50,39.4973,-121.75569,,,,
95975,,1702,722,824,0.5,8.3,722,39.22436,-121.15367,5.4,1184.0,575200.0,
95977,60683.0,1797,700,766,2.8,1.6,700,39.17967,-121.29007,5.9,,433800.0,7.15
95978,,137,57,67,0.0,0.0,57,39.90826,-121.52941,5.2,,,
95979,39167.0,519,240,420,2.5,8.3,240,39.29771,-122.47913,4.7,736.0,216200.0,5.52
95981,,191,92,341,0.0,22.7,92,39.65237,-121.03447,4.7,,,
95982,71714.0,3283,1183,1229,0.2,2.7,1183,39.18051,-121.80746,5.3,1217.0,342900.0,4.78
95983,,401,222,295,3.7,9.6,222,40.05827,-120.73897,5.1,967.0,,
95984,,139,60,120,3.2,11.1,60,39.99654,-121.11951,5.2,,,
95986,58214.0,121,51,88,0.0,0.0,51,39.36149,-120.7652,4.1,,,
95987,60774.0,6270,1846,2089,2.0,2.5,1846,39.10299,-122.2726,5.2,1202.0,359600.0,5.92
95988,48493.0,8842,3261,3534,1.1,3.6,3261,39.49825,-122.28698,5.1,1073.0,265300.0,5.47
95991,47871.0,43345,14668,15380,1.1,3.6,14668,39.02205,-121.61317,5.2,1262.0,350000.0,7.31
95993,67384.0,37783,12232,12605,0.8,2.4,12232,39.08171,-121.68798,6.2,1427.0,408500.0,6.06
96001,51831.0,33914,13734,14672,1.7,5.6,13734,40.57731,-122.45443,5.5,1199.0,369800.0,7.13
96002,52693.0,35158,13255,13991,1.6,5.2,13255,40.5299,-122.31679,5.5,1199.0,329000.0,6.24
96003,51512.0,45185,18661,19960,1.5,5.2,18661,40.66664,-122.31564,5.2,1356.0,343300.0,6.66
96006,55000.0,473,236,303,0.0,5.4,236,41.15575,-120.83952,5.3,,250000.0,4.55
96007,43973.0,24056,9484,10090,1.7,3.5,9484,40.45507,-122.30468,5.1,1038.0,272300.0,6.19
96008,61900.0,1237,413,462,1.9,4.6,413,40.73559,-122.11091,6.4,,348900.0,5.64
96009,58281.0,481,219,266,1.3,5.8,219,41.06183,-121.04434,5.1,1009.0,188900.0,3.24
96010,43393.0,154,76,118,3.5,22.2,76,40.89735,-123.24365,4.7,,,
96011,20833.0,148,77,113,0.0,0.0,77,41.05762,-121.89157,4.3,758.0,148200.0,7.11
96013,45319.0,4020,1683,1976,2.1,5.2,1683,40.97495,-121.68316,5.1,949.0,205600.0,4.54
96014,34762.0,237,101,141,0.0,0.0,101,41.3579,-122.77305,4.2,,124500.0,3.58
96015,40993.0,364,126,154,0.0,0.0,126,41.49672,-120.87162,6.7,,340900.0,8.32
96016,94398.0,399,169,245,3.8,7.7,169,40.90675,-121.52032,4.0,,245300.0,2.6
96017,42143.0,169,102,159,0.0,4.2,102,41.10776,-122.30751,4.4,591.0,315400.0,7.48
96019,52135.0,10491,4108,4391,1.9,2.4,4108,40.68729,-122.39927,5.2,1247.0,244200.0,4.68
96020,56194.0,2407,1157,1893,1.1,4.6,1157,40.30089,-121.26286,5.4,1031.0,264700.0,4.71
96021,43032.0,17123,6071,6514,1.2,3.7,6071,39.91871,-122.26813,5.5,1103.0,270800.0,6.29
96022,50625.0,16528,6214,6759,1.8,6.0,6214,40.34232,-122.44814,5.6,1370.0,321400.0,6.35
96023,31481.0,1102,447,539,0.7,8.9,447,41.92108,-121.97592,4.9,761.0,137700.0,4.37
96024,41397.0,859,384,517,3.4,2.7,384,40.58767,-122.90143,4.6,1069.0,302700.0,7.31
96025,33857.0,2225,1045,1468,1.9,4.6,1045,41.20409,-122.32523,4.7,949.0,241900.0,7.14
96027,57202.0,1953,880,1025,2.1,4.7,880,41.36558,-123.07799,5.3,1068.0,258700.0,4.52
96028,41897.0,1679,678,839,2.0,6.5,678,41.00761,-121.45731,5.3,888.0,340700.0,8.13
96029,40417.0,138,56,57,0.0,12.5,56,39.94003,-122.48743,5.1,,450000.0,11.13
96031,23750.0,118,58,83,6.0,0.0,58,41.17262,-123.18029,3.9,,173200.0,7.29
96032,46213.0,2593,1077,1232,0.7,3.3,1077,41.58503,-122.98291,5.0,978.0,268000.0,5.8
96033,42500.0,429,174,212,8.8,0.0,174,40.75076,-122.60004,5.0,1400.0,125000.0,2.94
96034,33125.0,345,140,164,0.0,7.5,140,41.44177,-122.60772,5.7,1018.0,331300.0,10.0
96035,41250.0,3175,1103,1238,3.9,4.7,1103,40.04168,-122.18254,5.3,1106.0,233100.0,5.65
96037,,312,125,144,2.9,0.0,125,41.54368,-122.93177,5.8,,,
96038,47632.0,586,224,232,0.0,1.3,224,41.60827,-122.54576,4.7,900.0,294400.0,6.18
96039,35197.0,1037,462,577,0.7,6.4,462,41.66376,-123.37711,4.5,746.0,177700.0,5.05
96040,,283,111,171,5.3,0.0,111,40.79393,-121.47397,2.7,,,
96041,28880.0,5574,1660,1841,0.3,2.3,1660,40.52059,-123.19991,3.5,667.0,256700.0,8.89
96044,43026.0,1015,490,558,1.1,1.6,490,41.95384,-122.64853,5.0,970.0,207900.0,4.83
96046,,304,146,188,0.9,0.0,146,40.61118,-123.43151,5.4,,,
96047,43750.0,888,387,459,0.3,16.0,387,40.47695,-122.69889,4.7,1036.0,370900.0,8.48
96048,50338.0,698,297,357,2.4,9.5,297,40.82613,-123.05594,5.1,670.0,380200.0,7.55
96050,24938.0,476,195,289,5.1,24.6,195,41.85389,-122.95689,4.4,544.0,237000.0,9.5
96051,46328.0,1136,550,892,3.5,12.3,550,40.90112,-122.35664,5.4,1568.0,299300.0,6.46
96052,34669.0,1498,649,863,3.0,2.5,649,40.68515,-122.80342,5.0,939.0,339200.0,9.78
96054,39231.0,288,131,210,0.9,8.7,131,41.26665,-121.10633,4.7,,146600.0,3.74
96055,47798.0,3951,1587,1732,0.8,6.0,1587,40.10249,-122.03213,5.6,1129.0,260600.0,5.45
96056,52019.0,1444,634,786,2.5,6.3,634,41.07178,-121.32607,5.6,,374200.0,7.19
96057,40469.0,1202,614,982,4.7,4.4,614,41.26144,-122.0118,4.8,1080.0,307500.0,7.6
96058,36838.0,659,253,367,0.0,4.2,253,41.74536,-121.9337,4.4,,147200.0,4.0
96059,39514.0,572,268,337,2.6,6.1,268,40.42947,-121.83465,4.5,,338200.0,8.56
96061,,90,26,159,13.6,27.3,26,40.34407,-121.48767,4.3,,,
96062,60833.0,994,383,417,0.9,7.4,383,40.56373,-122.06646,5.9,1313.0,363600.0,5.98
96063,49625.0,125,73,279,5.5,0.0,73,40.35708,-121.60236,3.8,,196300.0,3.96
96064,48489.0,4387,1821,2163,1.5,5.7,1821,41.76371,-122.36433,5.4,883.0,234400.0,4.83
96065,35000.0,409,173,260,1.6,2.1,173,40.88056,-121.95433,5.2,727.0,286000.0,8.17
96067,47964.0,7145,3413,4041,2.0,6.1,3413,41.31664,-122.31736,4.8,1326.0,350400.0,7.31
96068,,185,41,54,0.0,0.0,41,41.10525,-121.20455,4.7,,,
96069,54676.0,1052,407,532,2.0,4.3,407,40.68226,-122.02341,5.8,728.0,346400.0,6.34
96071,71071.0,127,89,201,0.0,0.0,89,40.68134,-121.45275,4.9,,,
96073,85694.0,4614,1747,1829,0.9,4.4,1747,40.59047,-122.20537,6.8,1804.0,506500.0,5.91
96074,38750.0,312,60,70,0.0,5.3,60,39.87196,-122.58599,5.1,,151800.0,3.92
96075,15391.0,427,139,206,2.2,12.1,139,40.35582,-121.87196,4.2,847.0,,
96076,38333.0,276,91,123,0.0,9.4,91,40.37547,-122.92996,4.5,,,
96080,41617.0,29672,11687,12571,2.0,5.0,11687,40.16386,-122.39171,5.3,1114.0,291000.0,6.99
96084,41250.0,515,243,294,1.9,0.0,243,40.79395,-121.91519,4.9,1196.0,245200.0,5.94
96085,,63,34,49,0.0,0.0,34,41.73245,-123.05145,4.2,,,
96086,41667.0,300,151,177,4.3,0.0,151,41.87407,-123.23012,5.2,1013.0,234300.0,5.62
96087,40147.0,547,223,248,1.0,0.0,223,40.63296,-122.58067,5.6,,368200.0,9.17
96088,48056.0,4781,2141,2687,2.0,4.7,2141,40.50983,-121.88848,5.1,1175.0,289900.0,6.03
96090,43906.0,451,185,195,1.4,5.9,185,40.00681,-122.12142,5.3,1188.0,242600.0,5.53
96091,47500.0,574,314,765,6.1,6.5,314,41.04567,-122.78053,4.8,1021.0,320800.0,6.75
96092,41964.0,419,141,153,2.2,10.0,141,39.97344,-121.97342,5.9,,405000.0,9.65
96093,42364.0,4140,1739,1923,1.4,6.9,1739,40.77237,-122.94329,5.3,976.0,321100.0,7.58
96094,51862.0,6908,2901,3378,1.4,4.8,2901,41.51214,-122.36253,5.3,847.0,276500.0,5.33
96096,53125.0,763,348,407,3.9,8.3,348,40.63738,-121.87552,5.7,990.0,348500.0,6.56
96097,42332.0,10131,4343,4783,2.3,6.9,4343,41.76234,-122.65921,5.1,953.0,219200.0,5.18
96101,42097.0,5238,2190,2633,2.8,5.8,2190,41.45803,-120.5043,5.0,816.0,173000.0,4.11
96103,65234.0,1611,825,1894,4.7,11.0,825,39.78446,-120.66969,5.7,1466.0,403100.0,6.18
96104,43438.0,613,310,405,6.1,3.4,310,41.48248,-120.12725,5.1,882.0,200700.0,4.62
96105,46161.0,568,222,327,2.3,3.5,222,39.82478,-120.1821,5.7,,426100.0,9.23
96106,86250.0,522,280,492,5.0,0.0,280,39.73552,-120.54388,6.0,,468200.0,5.43
96107,55938.0,1100,477,615,3.1,6.4,477,38.45215,-119.51421,6.8,912.0,394700.0,7.06
96108,,129,42,74,6.4,0.0,42,41.77687,-120.42351,5.8,,,
96109,42202.0,888,387,462,0.7,8.9,387,39.99747,-120.09521,5.1,,205000.0,4.86
96110,59250.0,101,51,83,4.1,61.5,51,41.26637,-120.10763,5.8,,,
96111,51193.0,80,35,43,0.0,0.0,35,39.41571,-120.01648,4.3,,,
96112,44500.0,219,105,137,2.8,7.0,105,41.8372,-120.09403,5.2,425.0,183300.0,4.12
96113,48824.0,1898,364,435,7.8,7.3,364,40.18577,-120.14609,5.0,1080.0,66600.0,1.36
96114,87639.0,3101,1187,1356,2.9,6.1,1187,40.2945,-120.49359,5.4,1353.0,293300.0,3.35
96115,,169,80,109,0.0,11.1,80,41.70753,-120.14047,7.0,,,
96116,51913.0,150,70,121,8.9,20.0,70,41.2603,-120.44841,4.2,,,
96117,37647.0,337,120,153,1.0,20.5,120,40.54556,-120.23978,4.8,,197200.0,5.24
96118,46822.0,1447,629,707,1.7,0.0,629,39.64823,-120.25392,5.2,1056.0,244800.0,5.23
96119,,82,24,44,0.0,33.3,24,41.03353,-120.55264,5.0,,,
96120,59625.0,955,398,586,1.4,4.1,398,38.745,-119.82485,5.1,867.0,465900.0,7.81
96121,87596.0,334,162,172,2.2,0.0,162,40.16938,-120.37659,4.7,,,
96122,52083.0,4070,1750,2322,5.1,8.3,1750,39.82082,-120.47652,4.8,866.0,219100.0,4.21
96123,35250.0,100,38,64,4.0,10.0,38,40.80392,-120.30799,4.4,,206300.0,5.85
96124,41992.0,343,173,294,0.0,14.8,173,39.63918,-120.46194,3.9,,359500.0,8.56
96125,114297.0,291,168,399,6.0,6.9,168,39.61526,-120.60493,5.4,,381300.0,3.34
96126,,273,99,143,7.0,5.7,99,39.54764,-120.38999,5.5,,781300.0,
96128,64423.0,535,203,218,1.3,0.0,203,40.34948,-120.40198,5.8,,342600.0,5.32
96129,119111.0,266,126,183,2.7,0.0,126,39.81848,-120.35346,5.4,,349200.0,2.93
96130,56369.0,22121,5958,7323,3.3,8.8,5958,40.54992,-120.63064,5.0,988.0,229700.0,4.07
96132,31250.0,53,25,46,17.4,14.3,25,40.89371,-120.5389,4.9,,,
96133,23036.0,175,73,97,4.8,0.0,73,38.63181,-119.50423,5.1,,,
96134,38500.0,2028,744,927,1.4,11.9,744,41.8444,-121.41231,5.0,697.0,166200.0,4.32
96135,,82,31,43,12.0,0.0,31,39.81303,-120.20927,,,,
96136,,116,34,46,0.0,10.0,34,40.31263,-120.12425,5.8,,,
96137,55043.0,3265,1548,3943,3.7,14.0,1548,40.38554,-121.12478,5.7,754.0,320700.0,5.83
96140,53239.0,1115,529,1584,0.5,33.5,529,39.23244,-120.10364,5.4,1717.0,836500.0,15.71
96141,67679.0,600,309,1497,0.4,29.2,309,39.10297,-120.19872,5.7,,973400.0,14.38
96142,74630.0,973,453,2238,2.8,14.8,453,39.0138,-120.09592,5.0,1627.0,727900.0,9.75
96143,47946.0,3965,1608,2987,1.8,4.4,1608,39.26174,-120.02817,4.7,1225.0,654600.0,13.65
96145,72431.0,3189,1464,4872,1.2,20.8,1464,39.18203,-120.15143,5.3,1798.0,915300.0,12.64
96146,80000.0,1194,546,2496,3.5,14.7,546,39.22556,-120.23681,4.9,1708.0,1559700.0,19.5
96148,73214.0,993,405,937,1.1,18.3,405,39.24978,-120.05767,5.2,,661500.0,9.04
96150,56321.0,29518,12728,23086,2.2,9.6,12728,38.88971,-120.04409,4.8,1340.0,595300.0,10.57
96155,,8,22,236,0.0,0.0,22,38.75294,-120.09222,3.8,,,
96161,93971.0,19651,7806,18545,2.0,9.2,7806,39.34848,-120.22603,5.5,2023.0,822800.0,8.76
97635,26250.0,285,133,189,0.0,7.4,133,41.93173,-120.29974,5.3,,147800.0,5.63
