zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,median_income_rank,homeowner_vacancy_rate_rank,business_rank,personal_rank
92530,55399.0,59098,17797,18588,1.1,3.9,17797,33.63386,-117.37949,5.4,1642.0,439500.0,7.93,280,132,314,74,652,240
92543,33197.0,39323,14245,15235,2.4,6.0,14245,33.69867,-116.97916,4.5,1228.0,199100.0,6.0,407,405,435,8,1239,441
92544,49793.0,50007,16130,17149,1.6,4.8,16130,33.64581,-116.86033,5.4,1436.0,316700.0,6.36,382,228,356,25,941,227
92545,46910.0,44072,16644,18174,2.2,10.7,16644,33.7311,-117.0359,5.2,1761.0,313900.0,6.69,361,320,374,13,1042,346
92553,50741.0,76761,20257,20729,0.7,2.7,20257,33.92335,-117.24532,5.1,1759.0,371600.0,7.32,325,42,349,228,488,294
92555,84612.0,43580,11553,11879,0.9,4.1,11553,33.9133,-117.10867,6.4,2251.0,474500.0,5.61,416,327,135,143,735,189
92557,70234.0,54549,15618,16163,0.9,5.9,15618,33.96855,-117.25704,5.9,1878.0,435600.0,6.2,392,173,198,143,620,122
92562,89002.0,64270,21564,22505,1.3,5.0,21564,33.53579,-117.35098,6.5,2148.0,586500.0,6.59,370,92,119,43,538,-116
92563,90906.0,73224,21850,22494,1.0,3.0,21850,33.58435,-117.14458,6.9,2264.0,584300.0,6.43,378,53,109,106,434,-110
92570,52325.0,59015,14863,15541,0.9,2.8,14863,33.78377,-117.31737,4.9,1354.0,376300.0,7.19,333,133,337,143,660,280
92571,61780.0,59450,14092,14377,0.5,2.7,14092,33.84182,-117.19522,5.7,1830.0,382500.0,6.19,393,130,264,321,466,322
92584,88201.0,55517,16767,17753,2.1,9.5,16767,33.66167,-117.18079,6.4,2251.0,494300.0,5.6,417,164,125,16,690,-112
92591,83189.0,42021,14225,14892,0.8,6.5,14225,33.53432,-117.1092,6.1,2137.0,610600.0,7.34,323,353,142,182,636,354
92592,101676.0,79740,25092,26075,1.0,4.3,25092,33.511,-117.0242,6.9,2435.0,625800.0,6.15,395,32,74,106,395,-183
92618,101822.0,57488,22152,25150,7.4,8.7,22152,33.66729,-117.73362,4.3,2841.0,1103600.0,10.84,134,147,72,2,351,87
92620,110483.0,64424,22212,23430,0.9,5.8,22212,33.70661,-117.75695,5.2,3024.0,1142700.0,10.34,148,90,46,143,141,131
92626,84968.0,50885,19763,20657,0.6,5.1,19763,33.67896,-117.90844,4.6,2388.0,962000.0,11.32,115,217,133,274,191,509
92627,71776.0,61764,22702,23684,1.1,3.3,22702,33.64786,-117.9205,4.4,2174.0,958000.0,13.35,60,114,188,74,288,316
92630,92552.0,66359,22905,23447,0.6,3.6,22905,33.64709,-117.68428,5.6,2451.0,828400.0,8.95,223,82,98,274,129,231
92646,96915.0,56788,21730,22344,0.5,3.6,21730,33.66525,-117.96755,6.0,2406.0,951600.0,9.82,177,153,86,321,95,383
92647,80218.0,60455,21962,22746,0.7,3.9,21962,33.72395,-118.00685,4.7,2336.0,903300.0,11.26,120,122,152,228,166,382
92648,93413.0,46691,20357,21731,0.6,3.6,20357,33.68212,-118.0101,4.8,2232.0,1147000.0,12.28,90,265,97,274,178,546
92656,108288.0,53473,20327,20943,0.5,3.9,20327,33.57518,-117.73036,4.8,2615.0,804000.0,7.42,313,187,52,321,231,247
92672,81347.0,41067,15757,17810,1.0,7.2,15757,33.3825,-117.5403,5.0,2291.0,1174200.0,14.43,42,371,145,106,452,580
92677,103322.0,64355,25425,27281,0.8,11.9,25425,33.52777,-117.70523,5.8,2736.0,1052800.0,10.19,156,91,67,182,132,184
92683,61813.0,90946,27033,27916,0.5,3.3,27033,33.75242,-117.99383,5.0,1978.0,777100.0,12.57,85,13,263,321,40,512
92688,108876.0,44688,16073,16471,0.4,4.2,16073,33.61737,-117.61131,5.3,2446.0,819000.0,7.52,306,308,51,381,284,434
92691,113280.0,47918,16633,17035,0.3,4.8,16633,33.61051,-117.66627,6.1,2463.0,867600.0,7.66,295,253,40,419,169,417
92692,114167.0,46434,17725,18249,0.6,5.6,17725,33.60948,-117.64396,6.1,2684.0,903000.0,7.91,282,274,37,274,319,303
92701,46728.0,48789,12574,13020,0.7,2.4,12574,33.7486,-117.85877,3.8,1607.0,579400.0,12.4,89,244,376,228,481,759
92703,57186.0,65621,13939,14365,0.2,3.7,13939,33.74853,-117.90621,4.5,1858.0,572100.0,10.0,164,84,300,434,114,654
92704,65645.0,82841,20260,20730,0.5,2.8,20260,33.72038,-117.90807,4.7,2001.0,600900.0,9.15,214,24,231,321,148,362
92705,101711.0,45902,14912,15774,0.7,8.3,14912,33.755,-117.81488,5.9,2164.0,1074600.0,10.57,140,283,73,228,268,444
92707,73648.0,56456,13483,13867,0.1,4.2,13483,33.70991,-117.87045,4.8,2040.0,606100.0,8.23,264,155,181,440,160,512
92708,84509.0,57192,19182,19589,0.4,2.9,19182,33.71046,-117.95132,6.1,2412.0,932800.0,11.04,127,148,136,381,30,538
92780,70536.0,56034,18232,18844,0.9,2.9,18232,33.73685,-117.81968,4.6,2070.0,798100.0,11.31,118,158,197,143,330,380
92801,60554.0,63163,18509,19132,0.6,3.5,18509,33.84441,-117.95175,4.2,1881.0,598700.0,9.89,171,103,272,274,272,478
92802,58944.0,41914,11751,12289,0.6,3.9,11751,33.80831,-117.9237,4.4,1905.0,664600.0,11.28,119,355,285,274,485,795
92804,61611.0,86127,25230,26017,0.8,2.9,25230,33.81801,-117.97517,4.5,1888.0,661400.0,10.74,137,18,267,182,240,330
92805,63691.0,74633,21096,22927,0.7,8.1,21096,33.83003,-117.90568,4.0,1900.0,640600.0,10.06,161,48,245,228,226,360
92806,68272.0,40649,13102,13666,0.7,5.3,13102,33.83884,-117.87054,4.3,2112.0,749500.0,10.98,130,383,212,228,497,693
92821,89970.0,41335,14995,15718,0.5,4.2,14995,33.92997,-117.86986,5.3,2190.0,812600.0,9.03,219,367,114,321,379,583
92831,65948.0,38953,13538,14257,0.4,5.6,13538,33.8795,-117.89607,4.4,1976.0,746800.0,11.32,115,411,228,381,373,905
92833,74578.0,52598,16576,16968,0.5,2.6,16576,33.88051,-117.96112,5.2,1985.0,757000.0,10.15,158,197,177,321,211,537
92840,68233.0,54365,15283,15753,0.6,3.3,15283,33.78584,-117.93202,4.9,1862.0,678700.0,9.95,168,175,213,274,282,494
92843,60232.0,45480,11289,11499,0.4,2.0,11289,33.76399,-117.93153,4.8,1800.0,630100.0,10.46,145,289,276,381,329,801
92867,90233.0,44927,13635,14045,0.6,3.2,13635,33.81443,-117.79617,6.1,2081.0,899100.0,9.96,167,303,111,274,307,521
92870,89360.0,52749,17212,17669,0.3,3.9,17212,33.88087,-117.85522,5.7,2170.0,835300.0,9.35,204,196,116,419,97,527
92879,66638.0,47243,13931,14526,1.0,5.3,13931,33.87979,-117.5357,5.3,1909.0,546900.0,8.21,267,261,219,106,641,319
92880,105087.0,75365,20109,20526,0.6,2.5,20109,33.92096,-117.61052,7.2,2563.0,668700.0,6.36,382,44,61,274,213,-3
92882,75804.0,67894,20355,20809,0.5,2.9,20355,33.86367,-117.59989,5.9,1945.0,623500.0,8.23,264,72,170,321,185,299
92886,123737.0,50001,16754,17254,0.8,4.0,16754,33.89517,-117.80154,6.5,2906.0,968400.0,7.83,285,229,26,182,358,152
93003,77185.0,50558,19482,20324,0.7,4.1,19482,34.28434,-119.22256,5.2,2003.0,704200.0,9.12,215,219,165,228,371,397
93010,92045.0,46223,17004,17726,0.6,5.1,17004,34.23007,-119.07437,6.0,2299.0,747700.0,8.12,272,277,103,274,378,382
93021,104483.0,38103,12135,12372,0.4,3.0,12135,34.30417,-118.88274,6.6,2453.0,805600.0,7.71,292,430,64,381,405,583
93030,68543.0,59011,15542,15903,0.6,2.4,15542,34.2051,-119.1753,5.0,1778.0,604600.0,8.82,233,134,210,274,303,385
93033,61698.0,79539,17357,17729,0.3,2.1,17357,34.15401,-119.12296,5.2,1796.0,519600.0,8.42,252,35,265,419,133,467
93036,70173.0,48656,14400,15095,0.8,4.5,14400,34.24911,-119.15977,5.2,2117.0,615000.0,8.76,238,247,199,182,502,390
93063,89341.0,55076,19442,19827,0.3,2.4,19442,34.30922,-118.69041,6.0,2297.0,697100.0,7.8,288,170,118,419,157,419
93065,98946.0,73943,24591,25149,0.4,4.0,24591,34.26206,-118.77151,6.0,2490.0,710200.0,7.18,336,51,76,381,82,172
93117,62547.0,53430,16967,17878,0.9,2.8,16967,34.49102,-120.08201,4.3,1936.0,932400.0,14.91,36,188,254,143,335,549
93215,41877.0,53626,11708,12196,0.7,3.5,11708,35.7764,-119.18835,5.1,1053.0,248400.0,5.93,410,186,404,228,772,408
93230,59904.0,68412,22493,23439,1.0,3.4,22493,36.28967,-119.62514,5.4,1181.0,294300.0,4.91,431,69,280,106,674,24
93245,57314.0,38045,12454,13174,1.2,5.1,12454,36.28614,-119.83405,5.3,1468.0,305300.0,5.33,425,431,297,59,1094,362
93257,41048.0,79569,22848,23949,0.9,3.4,22848,35.98708,-118.89493,5.1,1057.0,250100.0,6.09,398,34,410,143,699,189
93274,52096.0,78493,23211,24164,0.9,4.3,23211,36.17978,-119.37949,5.4,1239.0,286500.0,5.5,420,39,339,143,655,101
93277,57596.0,53196,18728,19613,1.2,4.7,18728,36.29963,-119.38139,5.5,1307.0,293300.0,5.09,429,190,294,59,854,114
93291,57223.0,63366,18996,19712,0.9,3.6,18996,36.38931,-119.36838,5.3,1196.0,366800.0,6.41,379,100,299,143,635,163
93292,54832.0,43316,14218,14802,1.1,3.1,14218,36.3763,-119.22183,5.5,1379.0,295800.0,5.39,424,332,316,74,998,298
93304,38102.0,50837,15856,16630,1.3,4.0,15856,35.33938,-119.02368,4.6,1117.0,209500.0,5.5,420,218,420,43,1015,261
93305,31454.0,38392,11253,11795,1.0,3.4,11253,35.38989,-118.98515,4.1,1034.0,215700.0,6.86,351,423,436,106,1104,614
93306,53254.0,74623,22985,23905,1.3,3.9,22985,35.46595,-118.78445,5.3,1190.0,265600.0,4.99,430,49,329,43,765,-9
93307,38891.0,88338,23523,24590,1.1,3.6,23523,35.2487,-118.93253,4.5,1111.0,220400.0,5.67,414,15,415,74,770,90
93308,43659.0,56037,19871,20935,1.1,4.9,19871,35.5498,-118.93389,4.8,1180.0,284400.0,6.51,373,157,394,74,850,252
93309,50742.0,61079,22410,23363,1.0,3.9,22410,35.34266,-119.06461,5.0,1206.0,268800.0,5.3,426,118,348,106,786,146
93311,95293.0,52466,17029,17620,1.4,3.7,17029,35.15378,-119.16567,5.9,1730.0,385200.0,4.04,435,200,92,39,688,-104
93312,97311.0,58714,19240,19677,0.6,3.9,19240,35.39186,-119.11954,6.2,1855.0,382800.0,3.93,436,135,81,274,378,54
93313,72946.0,58322,15980,16516,1.1,4.7,15980,35.16363,-119.04715,5.8,1759.0,320200.0,4.39,434,140,185,74,685,-35
93436,59375.0,56730,18546,19311,0.6,3.3,18546,34.60888,-120.4002,5.1,1458.0,438200.0,7.38,315,154,284,274,479,397
93446,65694.0,45979,17309,19453,1.2,4.2,17309,35.65861,-120.71888,5.4,1679.0,621300.0,9.46,201,280,230,59,652,368
93454,62015.0,40994,11980,12625,0.6,2.9,11980,34.94834,-120.23425,5.1,1661.0,434300.0,7.0,344,374,260,274,704,564
93455,84404.0,45282,15859,16363,0.9,3.0,15859,34.84195,-120.45522,5.9,2165.0,529600.0,6.27,389,294,137,143,677,185
93458,53890.0,59927,13890,14272,0.8,2.0,13890,34.95477,-120.49042,4.8,1735.0,421800.0,7.83,285,128,323,182,554,348
93534,39906.0,43906,15705,16539,1.6,4.6,15705,34.71759,-118.15079,4.6,1421.0,298200.0,7.47,309,324,414,25,1022,454
93535,43929.0,82149,23422,24198,1.2,2.8,23422,34.69908,-117.89613,6.1,1473.0,300000.0,6.83,355,27,393,59,716,124
93536,75380.0,74283,23431,24269,1.1,3.2,23431,34.75267,-118.3889,6.4,1813.0,450800.0,5.98,408,50,173,74,557,-111
93550,41675.0,82379,23827,24636,1.0,3.4,23827,34.38305,-118.04926,5.4,1457.0,345200.0,8.28,261,26,407,106,588,278
93551,92500.0,56001,17519,18083,0.9,3.3,17519,34.59404,-118.22634,6.9,2101.0,488600.0,5.28,427,159,99,143,542,-26
93552,63261.0,42468,10818,11039,0.8,2.2,10818,34.58412,-118.02386,6.7,1797.0,383300.0,6.06,402,344,249,182,813,373
93611,87379.0,47041,16114,16640,0.7,5.9,16114,36.82552,-119.68115,6.2,1982.0,426100.0,4.88,432,263,131,228,598,190
93619,118010.0,50032,16239,16989,1.3,5.8,16239,36.91656,-119.57372,6.6,2253.0,526100.0,4.46,433,227,30,43,647,-133
93635,52664.0,48510,13576,14242,1.3,2.9,13576,37.016,-120.88294,5.3,1419.0,394600.0,7.49,308,249,333,43,847,317
93637,52207.0,40202,11854,12375,1.0,3.1,11854,36.91099,-120.1922,5.6,1258.0,337500.0,6.46,375,387,338,106,994,456
93638,41129.0,51106,12461,12877,0.8,2.0,12461,37.0424,-120.03816,5.3,1126.0,277800.0,6.75,359,214,409,182,800,446
93702,26580.0,45741,12310,12796,1.5,2.2,12310,36.73942,-119.75422,4.6,1044.0,182300.0,6.86,351,286,439,33,1043,407
93705,38105.0,38125,12560,13108,1.3,3.9,12560,36.78667,-119.82851,4.7,1160.0,255600.0,6.71,360,428,419,43,1164,530
93706,30433.0,40965,11219,11893,1.0,3.4,11219,36.65344,-119.90216,4.8,1035.0,217300.0,7.14,338,375,437,106,1044,580
93711,71825.0,37901,15940,16728,1.3,5.3,15940,36.83508,-119.83309,5.7,1473.0,450900.0,6.28,388,436,187,43,968,278
93720,84614.0,47814,18598,19596,0.6,7.5,18598,36.8606,-119.76228,5.4,1889.0,434000.0,5.13,428,254,134,274,542,234
93722,56028.0,87364,26613,27675,0.7,3.9,26613,36.80003,-119.87791,5.3,1437.0,322900.0,5.76,411,16,307,228,506,140
93726,38435.0,42366,14541,15337,1.6,4.3,14541,36.79374,-119.76161,4.8,1177.0,253800.0,6.6,369,347,418,25,1109,421
93727,54491.0,83212,24443,25396,0.8,4.1,24443,36.75119,-119.69736,5.3,1202.0,341800.0,6.27,389,23,318,182,548,134
93905,49659.0,64209,13972,14185,0.4,0.9,13972,36.6849,-121.60562,4.6,1698.0,513300.0,10.34,148,95,357,381,219,685
93906,65203.0,66381,17707,18160,0.4,2.5,17707,36.72258,-121.63218,5.0,1981.0,568500.0,8.72,240,81,233,381,173,455
94010,144281.0,44045,16587,17555,0.8,4.1,16587,37.57306,-122.37828,5.8,2593.0,,,0,321,12,182,151,515
94014,88942.0,48677,14395,14949,0.8,2.8,14395,37.6907,-122.44769,4.5,2083.0,992300.0,11.16,121,245,120,182,304,426
94015,90972.0,63489,19809,20983,0.4,8.1,19809,37.68121,-122.48074,4.9,2753.0,1116900.0,12.28,90,99,107,381,-85,497
94025,151279.0,42354,15759,17076,1.0,6.2,15759,37.45087,-122.1829,5.2,2925.0,,,0,349,8,106,251,463
94044,115602.0,38675,14197,14670,0.4,3.2,14197,37.60544,-122.47993,5.5,2935.0,1188000.0,10.28,152,416,34,381,221,679
94066,102081.0,44147,15937,16621,0.3,4.8,15937,37.62539,-122.43229,4.8,2671.0,1187600.0,11.63,105,318,70,419,74,702
94080,96927.0,66592,21931,22822,0.4,4.4,21931,37.65541,-122.42083,5.0,2649.0,1111900.0,11.47,111,77,85,381,-108,432
94086,129112.0,50175,19853,20982,0.8,4.7,19853,37.37164,-122.02316,3.9,2860.0,1631700.0,12.64,79,224,19,182,140,346
94087,153036.0,58344,20448,21355,0.4,5.5,20448,37.35164,-122.03669,5.1,3127.0,,,0,139,6,381,-236,526
94102,41835.0,39432,19907,22348,7.7,6.9,19907,37.77956,-122.41931,2.0,1512.0,1039000.0,24.84,4,402,405,1,810,804
94103,57015.0,37843,17967,19927,1.2,7.0,17967,37.77299,-122.41136,2.7,1921.0,1065100.0,18.68,13,438,301,59,693,785
94109,88593.0,58501,33868,38664,2.3,8.6,33868,37.79334,-122.42138,2.9,2143.0,1364200.0,15.4,33,138,124,9,286,238
94110,123576.0,68336,27539,29790,1.2,4.4,27539,37.74975,-122.41528,4.3,2315.0,1446800.0,11.71,100,70,27,59,138,56
94112,89355.0,79314,22972,23973,0.5,2.5,22972,37.7206,-122.44311,5.1,2171.0,1144800.0,12.81,73,36,117,321,-95,401
94116,107619.0,44092,15435,16139,0.5,2.9,15435,37.74457,-122.48611,5.5,2947.0,1368100.0,12.71,75,319,54,321,127,619
94117,152071.0,38451,18050,19333,1.1,3.4,18050,37.77002,-122.44425,4.0,2715.0,1571000.0,10.33,150,421,7,74,504,352
94118,110216.0,42356,17595,19007,1.3,4.1,17595,37.7801,-122.46185,4.6,2527.0,1755100.0,15.92,30,348,47,43,382,408
94121,95036.0,43115,17926,19386,1.1,4.2,17926,37.77849,-122.49548,4.8,2152.0,1583700.0,16.66,24,334,93,74,377,477
94122,109607.0,57160,22365,23755,0.6,3.5,22365,37.76113,-122.48433,4.8,2675.0,1446400.0,13.2,63,149,50,274,-12,410
94124,56607.0,39445,11516,12171,2.8,3.4,11516,37.73204,-122.3858,4.8,1276.0,1004000.0,17.74,19,401,304,5,719,691
94134,76229.0,41695,11901,12405,0.5,2.8,11901,37.71887,-122.41124,4.8,1729.0,1027600.0,13.48,57,359,169,321,264,792
94303,103680.0,48281,13992,14719,0.7,4.2,13992,37.45064,-122.11928,5.2,2458.0,1670900.0,16.12,27,250,66,228,115,517
94403,123968.0,45057,17020,17660,0.5,3.6,17020,37.53844,-122.30454,4.6,3166.0,1681500.0,13.56,55,301,25,321,60,592
94501,89769.0,64116,25927,27773,0.4,5.2,25927,37.77525,-122.27493,4.4,2266.0,1148400.0,12.79,74,96,115,381,-96,518
94509,60821.0,69931,22510,23363,0.9,4.7,22510,37.99214,-121.8142,5.4,2011.0,516200.0,8.49,249,63,270,143,439,227
94513,103128.0,67394,21806,22299,0.7,2.5,21806,37.92541,-121.68452,6.7,2393.0,735700.0,7.13,339,74,68,228,253,31
94520,57252.0,38383,13368,13943,0.9,3.8,13368,37.99344,-122.03532,4.1,2028.0,571400.0,9.98,165,424,298,143,744,700
94521,97011.0,42885,16011,16440,0.6,4.0,16011,37.95293,-121.96971,5.9,2284.0,778300.0,8.02,277,340,83,274,426,420
94531,97104.0,45342,13047,13396,1.0,3.7,13047,37.95665,-121.77777,6.8,2800.0,624900.0,6.44,377,293,82,106,646,104
94533,67442.0,77380,25043,25945,1.0,4.0,25043,38.28132,-122.00693,5.4,1827.0,462500.0,6.86,351,41,217,106,503,13
94534,110761.0,42296,14543,15096,0.7,6.3,14543,38.24112,-122.12142,6.6,2592.0,675700.0,6.1,397,350,45,228,564,226
94536,116609.0,73172,24494,25564,0.5,5.5,24494,37.57072,-121.98555,4.8,2755.0,1160200.0,9.95,168,54,33,321,-66,240
94538,106139.0,66424,21661,22698,1.9,4.1,21661,37.50653,-121.96361,4.2,2753.0,1075100.0,10.13,160,80,56,17,279,-7
94539,170358.0,54026,16735,17379,1.3,3.8,16735,37.51635,-121.9119,6.1,3151.0,1735200.0,10.19,156,180,2,43,295,69
94541,74552.0,69736,22506,23479,0.8,3.4,22506,37.67376,-122.08707,4.4,2171.0,750000.0,10.06,161,65,178,182,222,264
94544,74896.0,79769,23671,24686,1.8,3.6,23671,37.63352,-122.05678,4.4,2239.0,736300.0,9.83,176,31,176,21,362,52
94546,91513.0,46687,16634,17225,0.5,3.4,16634,37.73441,-122.09056,5.4,2371.0,935700.0,10.22,153,266,105,321,203,539
94550,128466.0,49959,18125,18802,0.3,5.6,18125,37.51746,-121.59406,6.2,2492.0,1069200.0,8.32,258,232,20,419,91,413
94551,113305.0,40358,14303,14843,1.1,4.5,14303,37.75902,-121.76026,5.5,2463.0,898400.0,7.93,280,385,39,74,630,218
94553,96997.0,49756,19477,20121,0.6,4.1,19477,37.97999,-122.15368,5.7,2170.0,723400.0,7.46,311,234,84,274,355,281
94558,88765.0,65473,24575,27119,1.0,3.6,24575,38.50846,-122.26497,5.5,2128.0,816200.0,9.2,208,85,122,106,309,105
94560,108181.0,47533,14947,15372,0.7,3.4,14947,37.50771,-122.02523,5.1,2644.0,1034900.0,9.57,189,256,53,228,270,348
94561,93515.0,44545,13499,13954,0.7,3.6,13499,37.99311,-121.69172,6.2,2076.0,610200.0,6.53,371,311,96,228,550,264
94565,67772.0,100341,30247,31128,0.4,3.4,30247,38.00926,-121.92886,5.5,2077.0,528000.0,7.79,289,5,215,381,128,312
94566,153684.0,45055,16262,16841,0.8,4.1,16262,37.65032,-121.85881,6.2,2548.0,1452900.0,9.45,202,302,5,182,327,287
94568,140864.0,72590,23527,24427,1.1,5.1,23527,37.71596,-121.90113,5.7,3094.0,1164100.0,8.26,262,56,14,74,258,-118
94577,75121.0,48868,17315,18021,0.4,3.9,17315,37.71595,-122.16615,4.8,2073.0,788100.0,10.49,143,243,174,381,179,655
94578,58120.0,40957,14514,15053,1.1,3.1,14514,37.70675,-122.1256,4.3,1951.0,733900.0,12.63,82,376,290,74,674,658
94582,156824.0,49311,15855,16286,0.4,5.1,15855,37.76357,-121.91469,6.0,2746.0,1385200.0,8.83,232,237,4,381,92,390
94583,146696.0,38444,13581,13972,0.4,4.8,13581,37.77245,-121.99157,6.2,2799.0,1179800.0,8.04,276,422,10,381,327,537
94587,105448.0,70121,21427,21906,0.5,3.0,21427,37.59142,-122.06993,5.2,2593.0,1006600.0,9.55,190,61,59,321,-11,251
94590,49558.0,39981,15147,16146,0.9,4.8,15147,38.09546,-122.24986,4.6,1667.0,469600.0,9.48,197,391,358,143,803,695
94591,80888.0,56305,19486,20142,1.1,3.4,19486,38.12702,-122.19635,5.9,2096.0,574000.0,7.1,341,156,149,74,572,38
94601,46830.0,54166,16156,16932,1.1,2.8,16156,37.77684,-122.21822,4.3,1596.0,649100.0,13.86,49,178,375,74,528,578
94605,69087.0,44294,16096,16785,0.7,3.6,16096,37.76062,-122.14903,5.1,1740.0,823500.0,11.92,96,316,207,228,391,655
94606,53108.0,40768,15923,17003,1.6,4.3,15923,37.79179,-122.24455,3.7,1711.0,709400.0,13.36,58,381,330,25,744,678
94611,124483.0,40262,17913,19038,0.7,7.1,17913,37.83191,-122.21592,5.5,2090.0,1409200.0,11.32,115,386,24,228,297,523
94804,55903.0,45108,15280,16010,0.8,3.0,15280,37.92074,-122.34204,4.6,1760.0,591100.0,10.57,140,299,308,182,565,649
94806,59564.0,64589,20117,20840,0.5,3.3,20117,37.97811,-122.33618,4.7,2007.0,562500.0,9.44,203,87,283,321,252,488
94901,87495.0,43338,15923,16734,0.9,3.6,15923,37.98053,-122.50249,4.7,2158.0,1298400.0,14.84,38,331,129,143,355,565
94928,66621.0,47062,16847,17788,0.8,7.0,16847,38.3459,-122.6935,4.8,2132.0,620000.0,9.31,205,262,220,182,505,459
94954,90911.0,38301,14365,14910,0.7,5.7,14365,38.24624,-122.56627,5.7,2392.0,750000.0,8.25,263,427,108,228,570,500
95008,115453.0,49038,19607,20544,0.5,4.3,19607,37.27977,-121.95481,4.7,2592.0,1487400.0,12.88,70,241,35,321,25,527
95014,160801.0,62585,21461,22594,0.5,6.4,21461,37.30827,-122.07981,5.1,,,,0,107,3,321,-211,431
95020,95829.0,68090,20184,20976,1.0,3.6,20184,37.01461,-121.55718,6.1,2237.0,944000.0,9.85,175,71,91,106,231,93
95023,83305.0,56973,16987,17624,1.0,2.1,16987,36.92113,-121.36117,5.9,1819.0,691600.0,8.3,260,151,141,106,446,138
95035,125055.0,80440,24528,25250,0.5,3.6,24528,37.44319,-121.87632,5.1,2980.0,1155300.0,9.24,207,30,23,321,-61,167
95037,120864.0,53126,17600,18154,0.6,3.7,17600,37.13213,-121.67886,6.0,2243.0,1100500.0,9.11,216,192,29,274,163,279
95050,88872.0,39031,14873,15803,0.6,5.7,14873,37.3504,-121.95238,4.0,2381.0,1371700.0,15.43,32,408,121,274,287,771
95051,125520.0,61466,22797,24479,1.2,6.8,22797,37.3483,-121.98444,4.3,2963.0,1498200.0,11.94,95,116,22,59,174,102
95060,71485.0,47931,18161,20150,1.2,5.2,18161,37.01352,-122.10176,4.7,2265.0,1147700.0,16.06,29,252,191,59,413,473
95076,63979.0,84433,23472,24983,0.5,2.2,23472,36.94029,-121.75089,5.1,1805.0,702700.0,10.98,130,21,243,321,73,455
95111,69039.0,60593,16250,16567,0.5,1.9,16250,37.28401,-121.82731,5.1,1982.0,797900.0,11.56,107,121,208,321,115,543
95112,63500.0,60754,21840,23330,0.8,5.7,21840,37.34461,-121.88346,3.6,2008.0,918700.0,14.47,41,120,246,182,225,507
95116,60855.0,51222,13688,14090,0.7,1.9,13688,37.35043,-121.85255,4.3,1960.0,827900.0,13.6,54,212,269,228,307,655
95120,185800.0,38341,12701,13002,0.5,2.9,12701,37.18428,-121.83658,7.3,,1774100.0,9.55,190,426,1,321,296,558
95122,73388.0,54056,12502,12828,0.5,2.4,12502,37.32925,-121.83481,5.1,2273.0,817000.0,11.13,123,179,183,321,164,560
95123,112946.0,70040,24312,24996,0.5,3.4,24312,37.24479,-121.83306,5.2,2920.0,1076400.0,9.53,193,62,41,321,-25,231
95124,143425.0,50054,16980,17432,0.4,2.7,16980,37.25684,-121.92286,5.8,2788.0,1512400.0,10.54,142,226,13,381,0,478
95125,116708.0,54000,20714,21569,0.8,4.3,20714,37.29554,-121.89408,5.3,2354.0,1579700.0,13.54,56,181,32,182,87,339
95127,92419.0,63749,16567,17030,0.4,2.6,16567,37.37453,-121.78733,5.4,2401.0,915900.0,9.91,170,97,100,381,-14,408
95129,144333.0,41819,14479,15049,0.2,4.4,14479,37.30597,-122.00072,5.1,2728.0,1875900.0,13.0,68,358,11,434,3,735
95132,111623.0,40426,11829,12093,0.4,2.9,11829,37.41994,-121.79059,6.1,3065.0,1213200.0,10.87,132,384,44,381,179,677
95136,104909.0,45971,15863,16451,0.7,5.0,15863,37.27192,-121.85237,5.1,2655.0,1047400.0,9.98,165,281,62,228,280,406
95148,129984.0,45819,11677,11837,0.3,1.2,11677,37.33252,-121.78142,6.4,3048.0,1164700.0,8.96,222,284,18,419,105,499
95205,35544.0,40720,11072,11704,1.4,3.7,11072,37.96425,-121.25955,4.8,1263.0,270000.0,7.6,300,382,427,39,1070,548
95206,48908.0,69350,17640,18221,1.1,2.5,17640,37.8961,-121.41051,5.4,1385.0,354600.0,7.25,328,67,361,74,682,174
95207,44103.0,52465,18679,19531,1.6,3.8,18679,38.00242,-121.325,4.7,1469.0,372500.0,8.45,251,201,392,25,819,367
95209,78883.0,44660,13263,13697,1.0,3.9,13263,38.04717,-121.35121,6.3,1768.0,427700.0,5.42,423,310,160,106,787,153
95210,43587.0,41378,11991,12291,0.9,1.8,11991,38.03215,-121.29782,5.1,1385.0,310400.0,7.12,340,365,395,143,957,563
95240,46309.0,49102,16784,17565,1.1,3.7,16784,38.1177,-121.1627,4.8,1342.0,413900.0,8.94,224,239,383,74,772,472
95301,57322.0,40886,12476,12929,0.6,3.3,12476,37.30634,-120.65119,5.7,1174.0,342900.0,5.98,408,379,296,274,809,541
95307,54405.0,46346,13014,13333,0.3,2.6,13014,37.55582,-120.95385,5.5,1460.0,369300.0,6.79,357,276,319,419,533,657
95336,62362.0,47281,16014,16617,1.2,3.6,16014,37.83351,-121.1988,5.7,1691.0,476200.0,7.64,296,259,258,59,754,280
95337,80351.0,44476,13409,13870,0.7,4.3,13409,37.74171,-121.23834,6.0,1841.0,568100.0,7.07,342,312,150,228,576,348
95340,56089.0,38606,12694,13403,1.6,5.0,12694,37.34128,-120.40658,5.8,1120.0,355600.0,6.34,384,419,306,25,1084,366
