zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,median_income_rank,homeowner_vacancy_rate_rank,business_rank,personal_rank
90277,102281.0,37856,16990,18145,0.9,4.9,16990,33.83099,-118.38441,4.6,2463.0,1317500.0,12.88,70,437,69,143,433,579
90278,118000.0,42188,16376,16947,0.6,3.4,16376,33.87362,-118.37028,5.2,2406.0,1164300.0,9.87,174,352,31,274,283,483
90280,50246.0,92678,24566,25073,0.5,1.6,24566,33.94453,-118.19256,4.3,1401.0,578900.0,11.52,109,12,351,321,151,575
90501,70671.0,43990,15366,15935,0.4,3.6,15366,33.8336,-118.31419,4.4,1771.0,824600.0,11.67,102,322,196,381,239,797
90503,90102.0,45386,17484,18115,0.5,3.5,17484,33.84089,-118.3538,4.6,2210.0,991400.0,11.0,129,292,113,321,213,597
90604,70877.0,40110,12197,12563,0.9,4.0,12197,33.93012,-118.01226,5.1,1755.0,650100.0,9.17,210,390,195,143,652,518
90605,75575.0,40189,10913,11174,0.5,2.5,10913,33.95209,-118.02085,5.4,1752.0,632300.0,8.37,255,389,172,321,495,627
90620,88082.0,46564,13697,13893,0.3,1.3,13697,33.84616,-118.01176,5.7,2206.0,693200.0,7.87,283,270,126,419,260,532
90630,92073.0,49965,16373,16748,0.5,2.8,16373,33.81814,-118.03814,5.7,2313.0,822500.0,8.93,225,231,102,321,237,429
90631,79500.0,69533,22394,23058,0.7,3.2,22394,33.94266,-117.95126,5.0,1872.0,716700.0,9.02,220,66,157,228,215,231
90638,87429.0,46967,15229,15589,0.5,3.6,15229,33.90236,-118.00907,5.6,1940.0,706600.0,8.08,274,264,130,321,347,441
90640,53615.0,62678,19782,20324,0.4,2.5,19782,34.01506,-118.111,4.7,1701.0,628600.0,11.72,99,105,325,381,148,712
90650,66453.0,102891,27836,28456,0.3,2.4,27836,33.90703,-118.08249,5.0,1860.0,593100.0,8.93,225,1,222,419,29,417
90660,65617.0,62013,16951,17348,0.5,2.2,16951,33.98868,-118.09111,4.9,1702.0,596500.0,9.09,218,112,232,321,241,447
90703,98934.0,49735,16080,16430,0.4,3.6,16080,33.86797,-118.06874,6.1,2735.0,860900.0,8.7,241,235,77,381,172,452
90706,55729.0,79179,24631,25219,0.4,2.2,24631,33.88802,-118.12709,4.4,1686.0,619400.0,11.11,125,37,311,381,92,604
90723,53031.0,53770,14509,14863,0.5,2.4,14509,33.89768,-118.16508,4.3,1699.0,470800.0,8.88,230,183,331,321,423,605
90731,51161.0,61270,22927,24189,0.9,4.2,22927,33.7334,-118.27398,4.2,1606.0,751400.0,14.69,39,117,344,143,357,565
90744,47776.0,53074,14808,15142,0.3,1.9,14808,33.77821,-118.26087,4.1,1365.0,557600.0,11.67,102,193,368,419,244,878
90745,76551.0,59937,16465,16817,0.5,2.4,16465,33.82117,-118.26458,5.2,1756.0,601300.0,7.85,284,127,167,321,257,331
90802,53358.0,41686,21714,24012,1.9,7.7,21714,33.75035,-118.21143,3.2,1755.0,521800.0,9.78,180,360,327,17,850,524
90804,49860.0,39370,14895,15690,0.9,3.7,14895,33.78223,-118.14917,3.9,1710.0,630300.0,12.64,79,404,353,143,693,821
90805,49370.0,95350,27901,28746,0.5,2.8,27901,33.86494,-118.18051,4.3,1545.0,564900.0,11.44,112,10,359,321,160,578
90806,49962.0,41611,12762,13185,0.4,2.4,12762,33.80819,-118.17797,4.2,1489.0,632300.0,12.66,76,362,352,381,409,1019
90808,109918.0,39747,14389,14750,0.4,2.8,14389,33.82406,-118.11236,6.0,2204.0,854200.0,7.77,290,395,49,381,353,535
90810,58095.0,38529,10290,10606,0.9,2.5,10290,33.81912,-118.22096,4.8,1442.0,551700.0,9.5,195,420,291,143,763,659
90813,36075.0,54565,17723,18598,1.6,3.7,17723,33.78237,-118.19656,3.6,1464.0,470000.0,13.03,67,172,424,25,638,554
90815,88710.0,41837,15116,15712,0.5,5.3,15116,33.79572,-118.11592,5.4,2151.0,840300.0,9.47,199,357,123,321,358,602
91016,74076.0,41852,15842,16556,0.5,4.0,15842,34.15246,-118.00065,5.0,1949.0,820600.0,11.08,126,356,179,321,340,730
91304,68282.0,52386,17424,17963,0.5,2.9,17424,34.22472,-118.63261,4.9,1847.0,786000.0,11.51,110,203,211,321,203,625
91306,67869.0,46669,14274,14620,0.7,2.3,14274,34.20926,-118.5755,5.0,1765.0,652600.0,9.62,186,268,214,228,440,524
91311,86156.0,39014,14027,14524,0.9,4.4,14027,34.29011,-118.60776,5.7,2154.0,789500.0,9.16,212,409,132,143,610,472
91320,115102.0,44462,15501,15868,0.5,3.8,15501,34.17339,-118.94795,6.4,2651.0,884500.0,7.68,293,314,36,321,322,378
91326,112865.0,38041,13217,13557,0.6,3.4,13217,34.28022,-118.5566,6.5,2606.0,942700.0,8.35,256,432,42,274,456,492
91331,60360.0,100720,23422,23996,0.4,1.9,23422,34.25602,-118.41939,5.0,1694.0,583300.0,9.66,183,3,275,381,80,476
91335,60413.0,76650,24029,24819,0.6,3.2,24029,34.20107,-118.5407,4.6,1763.0,642700.0,10.64,138,43,274,274,181,453
91342,70106.0,96429,25917,26540,0.7,1.9,25917,34.31778,-118.39207,5.5,1862.0,605900.0,8.64,242,8,200,228,222,194
91343,62791.0,62595,18117,18545,0.2,2.3,18117,34.23837,-118.48076,4.8,1717.0,698400.0,11.12,124,106,252,434,48,668
91344,92286.0,52481,16879,17351,0.4,2.9,16879,34.28991,-118.5047,5.7,2101.0,809800.0,8.77,237,199,101,381,156,444
91350,112664.0,41514,13474,13701,0.7,2.0,13474,34.43028,-118.50283,6.2,2339.0,684300.0,6.07,401,363,43,228,579,233
91352,55177.0,47274,12629,12994,0.5,2.2,12629,34.23183,-118.36596,4.8,1720.0,657700.0,11.92,96,260,315,321,350,800
91360,95852.0,43046,15089,15659,0.8,5.0,15089,34.21475,-118.87735,6.1,2315.0,845700.0,8.82,233,336,90,182,477,375
91367,87699.0,46498,19785,21106,1.0,7.6,19785,34.17708,-118.61518,4.5,2591.0,912900.0,10.41,147,272,128,106,441,359
91387,90433.0,45749,14777,15188,0.7,3.6,14777,34.39708,-118.3707,5.5,2351.0,665800.0,7.36,319,285,110,228,486,304
91401,54058.0,39621,14872,15437,0.8,2.9,14872,34.17801,-118.43183,4.1,1731.0,911700.0,16.87,23,396,321,182,558,876
91402,42857.0,70140,19344,19799,0.4,1.8,19344,34.22413,-118.4448,4.1,1525.0,563700.0,13.15,65,60,398,381,142,774
91405,43548.0,55319,18644,19331,0.6,2.9,18644,34.20153,-118.44863,3.8,1649.0,648600.0,14.89,37,167,396,274,326,800
91406,55542.0,53252,18165,18944,0.5,4.2,18165,34.19791,-118.48987,4.1,1764.0,701900.0,12.64,79,189,313,321,260,744
91601,52607.0,39429,18280,19476,0.9,5.4,18280,34.16827,-118.37222,3.2,1967.0,876100.0,16.65,25,403,336,143,621,857
91605,47000.0,54341,16275,16846,0.9,3.0,16275,34.20699,-118.40067,4.2,1661.0,682200.0,14.51,40,176,373,143,446,652
91606,46397.0,43955,15491,16006,0.5,2.4,15491,34.18655,-118.38867,3.8,1673.0,763600.0,16.46,26,323,381,321,409,999
91701,94591.0,38778,13250,13510,0.4,3.1,13250,34.13784,-117.60028,6.3,2118.0,664100.0,7.02,343,413,94,381,469,545
91702,62514.0,62328,17500,18127,0.5,3.7,17500,34.24129,-117.82614,5.0,1798.0,569000.0,9.1,217,110,256,321,262,470
91706,62161.0,73313,18222,18553,0.4,1.5,18222,34.09627,-117.96855,4.9,1755.0,555200.0,8.93,225,52,259,381,155,467
91709,104590.0,78530,25294,26104,0.7,4.7,25294,33.95105,-117.72549,6.2,2575.0,775900.0,7.42,313,38,63,228,186,16
91710,79592.0,82576,23883,24537,0.6,3.4,23883,34.00507,-117.68249,5.7,1819.0,603800.0,7.59,301,25,156,274,208,154
91711,97593.0,38122,12320,13049,1.1,5.2,12320,34.12836,-117.71523,5.9,1983.0,839400.0,8.6,245,429,80,74,680,338
91730,69034.0,68883,24723,25678,0.8,4.3,24723,34.10023,-117.5811,4.9,2137.0,558600.0,8.09,273,68,209,182,368,186
91732,51899.0,60137,15512,15939,0.8,2.0,15512,34.07239,-118.01455,4.6,1672.0,604300.0,11.64,104,126,340,182,388,544
91733,45519.0,41990,10614,10872,0.6,1.6,10614,34.0454,-118.05314,4.4,1600.0,576400.0,12.66,76,354,388,274,544,940
91739,105221.0,42411,12093,12481,0.9,4.2,12093,34.1622,-117.51558,6.5,2303.0,798600.0,7.59,301,346,60,143,564,248
91744,66278.0,81817,19467,19853,0.5,1.7,19467,34.02914,-117.93735,5.6,1807.0,556300.0,8.39,254,28,223,321,184,318
91745,84224.0,54280,16582,17090,0.5,4.2,16582,33.99926,-117.97225,6.0,2084.0,742500.0,8.82,233,177,138,321,227,403
91748,71000.0,44737,13710,14247,0.8,4.6,13710,33.9769,-117.89924,5.4,1861.0,730300.0,10.29,151,306,194,182,469,531
91752,79181.0,38610,10766,11176,1.4,3.1,10766,33.99575,-117.53399,5.9,1944.0,583400.0,7.37,318,418,158,39,855,297
91761,71727.0,60306,17456,17933,0.6,3.4,17456,34.03541,-117.5915,5.5,1820.0,543400.0,7.58,303,124,189,274,342,284
91762,56881.0,62524,18529,19096,1.1,2.6,18529,34.02764,-117.64308,5.0,1665.0,512800.0,9.02,220,108,302,74,556,264
91763,58094.0,37631,10492,10751,0.6,2.5,10492,34.07208,-117.69828,5.3,1711.0,484900.0,8.35,256,440,292,274,714,750
91764,56168.0,55322,16083,16956,0.4,7.2,16083,34.07533,-117.60164,4.7,1979.0,475300.0,8.46,250,166,305,381,340,602
91765,97968.0,46449,15404,15971,0.6,4.4,15404,33.98725,-117.81473,6.2,2310.0,839700.0,8.57,247,273,78,274,324,378
91766,55785.0,70701,18952,19535,0.6,3.1,18952,34.04192,-117.75698,5.0,1654.0,517500.0,9.28,206,58,310,274,300,436
91767,57521.0,51654,15407,15815,0.6,2.7,15407,34.08143,-117.73868,5.0,1651.0,547900.0,9.53,193,206,295,274,420,582
91770,53506.0,59360,16901,17412,0.2,2.1,16901,34.06395,-118.08361,4.7,1674.0,673800.0,12.59,83,131,326,434,106,808
91776,54131.0,38031,12127,12674,0.9,3.3,12127,34.08987,-118.09519,4.5,1742.0,777500.0,14.36,44,434,320,143,655,853
91786,58649.0,55763,19754,20352,0.8,2.8,19754,34.10525,-117.66206,4.7,1798.0,573100.0,9.77,181,163,288,182,450,452
91789,99398.0,41235,13047,13515,0.9,3.5,13047,34.01858,-117.85408,6.5,2690.0,910400.0,9.16,212,370,75,143,514,376
91790,79926.0,46364,13632,14190,0.5,6.3,13632,34.06722,-117.93788,5.3,2113.0,653400.0,8.18,270,275,153,321,377,479
91801,55832.0,53669,20176,21182,1.1,3.3,20176,34.09093,-118.12776,4.2,1810.0,761100.0,13.63,52,185,309,74,472,516
91910,61922.0,79613,26646,27755,0.5,4.6,26646,32.63653,-117.06301,4.5,1830.0,621200.0,10.03,163,33,261,321,136,452
91911,58598.0,85442,25391,26014,0.5,2.3,25391,32.60686,-117.04984,4.4,1875.0,574200.0,9.8,179,19,289,321,166,450
91913,96617.0,55923,16368,16778,0.9,2.8,16368,32.62174,-116.98609,5.7,2786.0,675600.0,6.99,345,160,89,143,451,47
91942,61628.0,40813,17250,18021,0.8,4.4,17250,32.77728,-117.02129,4.3,1809.0,645500.0,10.47,144,380,266,182,608,684
91950,45712.0,57849,17280,18097,0.5,2.8,17280,32.66952,-117.09313,4.0,1486.0,504300.0,11.03,128,144,387,321,338,724
91977,64173.0,60795,18936,19447,0.7,2.8,18936,32.72387,-116.99631,5.3,1813.0,589400.0,9.18,209,119,239,228,339,377
92009,126348.0,44816,16684,17376,1.1,4.1,16684,33.09535,-117.24574,6.4,2825.0,1158900.0,9.17,210,305,21,74,462,190
92019,82261.0,45108,15549,16028,0.8,3.2,15549,32.77886,-116.87142,5.6,1977.0,675400.0,8.21,267,299,143,182,527,357
92020,55666.0,60454,20564,21286,0.8,2.8,20564,32.79557,-116.9697,4.3,1695.0,676200.0,12.15,92,123,312,182,345,525
92021,56863.0,70584,23634,24414,1.0,3.3,23634,32.83514,-116.87462,4.8,1721.0,545600.0,9.59,188,59,303,106,444,280
92024,114131.0,51190,19915,21523,0.6,5.7,19915,33.05716,-117.25651,5.6,2471.0,1299800.0,11.39,113,213,38,274,90,412
92025,60042.0,51586,16096,16776,0.7,4.4,16096,33.08492,-117.02967,4.8,1700.0,705700.0,11.75,98,209,277,228,356,616
92026,71597.0,52797,18207,19237,2.3,4.4,18207,33.2111,-117.11157,5.3,1943.0,632600.0,8.84,231,195,190,9,607,163
92027,63904.0,56840,17095,17474,0.5,2.7,17095,33.13263,-116.98335,5.2,1844.0,609400.0,9.54,192,152,244,321,267,525
92028,69620.0,51614,17519,18426,1.0,4.2,17519,33.38613,-117.22658,5.7,1637.0,710800.0,10.21,154,208,204,106,460,364
92037,105904.0,41260,17104,20098,1.5,6.5,17104,32.85257,-117.25104,5.2,2327.0,1839900.0,17.37,21,368,57,33,413,437
92040,74918.0,43640,15404,15936,1.0,2.7,15404,32.90665,-116.88875,5.3,1779.0,613500.0,8.19,269,325,175,106,663,337
92054,60017.0,38667,15635,18114,1.2,6.7,15635,33.19377,-117.35508,4.3,1784.0,753400.0,12.55,86,417,278,59,722,668
92056,77751.0,53750,20074,20810,0.7,4.1,20074,33.20197,-117.28939,5.4,2301.0,646800.0,8.32,258,184,163,228,377,317
92057,72633.0,57844,19147,19909,1.1,3.8,19147,33.25326,-117.28704,5.7,2381.0,624600.0,8.6,245,145,186,74,502,160
92058,46010.0,45389,13103,14766,1.2,12.2,13103,33.28379,-117.34182,5.4,2471.0,571200.0,12.41,87,291,384,59,703,647
92064,105788.0,48884,16412,16903,0.4,3.6,16412,32.98038,-117.01746,6.2,2165.0,911900.0,8.62,243,242,58,381,162,438
92069,69625.0,49407,15483,16000,0.5,4.4,15483,33.17536,-117.15761,5.2,1987.0,659900.0,9.48,197,236,203,321,315,563
92071,83712.0,60163,21277,21885,0.8,3.7,21277,32.85045,-116.99479,5.5,1982.0,603100.0,7.2,331,125,139,182,413,115
92078,79673.0,52347,17975,18845,0.9,4.9,17975,33.11834,-117.18554,5.5,2274.0,787600.0,9.89,171,204,155,143,387,331
92083,63262.0,39219,11820,12139,0.7,2.6,11820,33.19808,-117.24844,4.6,1929.0,564500.0,8.92,228,407,248,228,655,655
92084,66099.0,49941,15340,15971,1.0,3.7,15340,33.22454,-117.20334,4.9,1845.0,689500.0,10.43,146,233,226,106,499,419
92101,66202.0,47505,27414,32513,2.7,10.4,27414,32.7162,-117.18589,2.7,2222.0,751800.0,11.36,114,257,225,6,590,374
92102,47467.0,39783,13985,14846,1.5,3.8,13985,32.71595,-117.11749,4.0,1783.0,548700.0,11.56,107,394,372,33,840,692
92104,64157.0,44265,21819,23261,1.0,4.2,21819,32.74191,-117.12781,3.8,1805.0,776100.0,12.1,93,317,240,106,544,570
92105,40947.0,66579,21223,22080,1.0,3.0,21223,32.73756,-117.09193,4.2,1549.0,560800.0,13.7,51,78,411,106,434,544
92109,77774.0,44671,22031,25919,1.3,6.1,22031,32.78699,-117.23273,4.0,2198.0,1082700.0,13.92,48,309,162,43,476,466
92111,69442.0,46686,16971,17524,0.5,2.4,16971,32.8065,-117.16897,4.9,1973.0,681200.0,9.81,178,267,205,321,329,615
92113,36787.0,50457,13215,13786,0.5,2.8,13215,32.69591,-117.12012,4.2,1532.0,491600.0,13.36,58,220,423,321,380,906
92114,64390.0,66248,17953,18347,0.5,2.7,17953,32.70778,-117.05529,5.6,1728.0,564200.0,8.76,238,83,238,321,238,404
92115,48442.0,64251,21928,22976,0.4,3.3,21928,32.76154,-117.07187,4.3,1779.0,668000.0,13.79,50,94,365,381,128,790
92117,77621.0,51505,20500,21244,0.3,3.6,20500,32.82493,-117.19972,5.0,2026.0,836800.0,10.78,135,211,164,419,91,659
92122,80232.0,45646,20430,22330,0.7,8.7,20430,32.85681,-117.21017,3.9,2461.0,894700.0,11.15,122,287,151,228,332,544
92126,93994.0,74788,25195,25741,0.4,2.4,25195,32.912,-117.14344,5.0,2460.0,715900.0,7.62,297,46,95,381,57,225
92127,134769.0,52274,16830,17353,1.0,3.1,16830,33.01913,-117.12339,6.0,2442.0,1096000.0,8.13,271,205,15,106,385,55
92128,97952.0,49083,20220,20982,0.7,4.5,20220,32.99687,-117.07308,5.0,2620.0,788200.0,8.05,275,240,79,228,366,272
92129,121357.0,52415,17539,17828,0.4,2.5,17539,32.96354,-117.12622,6.2,2555.0,932400.0,7.68,293,202,28,381,142,318
92130,149344.0,61595,21676,23045,0.6,8.5,21676,32.94763,-117.20586,5.8,3090.0,1438500.0,9.63,185,115,9,274,35,213
92154,64942.0,84027,22455,23036,0.7,3.0,22455,32.578,-116.96621,5.5,1986.0,578700.0,8.91,229,22,234,228,257,255
92201,42757.0,66989,20900,24548,1.4,4.7,20900,33.70804,-116.23502,4.9,1304.0,321000.0,7.51,307,76,399,39,743,207
92223,73588.0,59924,19588,20246,1.2,2.9,19588,33.9382,-116.98137,6.0,1413.0,423100.0,5.75,412,129,182,59,664,-42
92231,40759.0,39542,10589,10945,0.6,2.2,10589,32.68751,-115.56433,5.2,1086.0,263200.0,6.46,375,400,413,274,914,712
92234,46367.0,51509,18174,22663,1.7,5.8,18174,33.81386,-116.46663,4.8,1445.0,381800.0,8.23,264,210,382,23,833,351
92236,34222.0,42220,9882,10162,0.6,1.7,9882,33.70276,-116.07254,5.2,982.0,301900.0,8.82,233,351,432,274,742,824
92240,36067.0,40920,13339,14903,2.3,5.3,13339,33.95291,-116.5194,4.8,1277.0,272600.0,7.56,305,378,425,9,1099,507
92243,46648.0,49149,15589,16709,1.1,4.6,15589,32.77285,-115.60065,4.7,936.0,260400.0,5.58,418,238,378,74,960,272
92301,38591.0,38912,9456,9917,1.3,4.5,9456,34.65183,-117.52617,5.8,1309.0,276100.0,7.15,337,412,416,43,1122,534
92307,58819.0,41649,13706,14542,2.2,4.4,13706,34.59078,-117.14127,6.2,1297.0,356600.0,6.06,402,361,286,13,1036,258
92308,49098.0,42469,15238,16228,1.9,4.9,15238,34.42005,-117.15558,5.9,1315.0,333500.0,6.79,357,343,360,17,1043,363
92324,51105.0,58626,17358,18024,0.7,4.6,17358,34.03398,-117.29008,4.8,1460.0,376200.0,7.36,319,136,345,228,572,390
92335,50730.0,96605,24647,25195,0.4,2.0,24647,34.08733,-117.46519,4.7,1533.0,406600.0,8.01,278,7,350,381,254,460
92336,90172.0,100594,26109,26596,0.8,3.0,26109,34.13686,-117.46033,6.2,1968.0,574800.0,6.37,380,4,112,182,314,-82
