zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,homeowner_vacancy_rate_rank,business_rank,median_income_rank
90275,133156.0,42452,15822,16553,0.8,5.2,15822,33.7555,-118.36338,6.4,3290.0,1412200.0,10.605605455255489,139,345,182,318,16
90277,102281.0,37856,16990,18145,0.9,4.9,16990,33.83099,-118.38441,4.6,2463.0,1317500.0,12.881180277861969,71,437,143,434,69
90278,118000.0,42188,16376,16947,0.6,3.4,16376,33.87362,-118.37028,5.2,2406.0,1164300.0,9.866949152542373,174,352,274,283,31
90280,50246.0,92678,24566,25073,0.5,1.6,24566,33.94453,-118.19256,4.3,1401.0,578900.0,11.521315129562552,109,12,321,151,351
90501,70671.0,43990,15366,15935,0.4,3.6,15366,33.8336,-118.31419,4.4,1771.0,824600.0,11.66815242461547,103,322,381,240,196
90503,90102.0,45386,17484,18115,0.5,3.5,17484,33.84089,-118.3538,4.6,2210.0,991400.0,11.003085392111164,129,292,321,213,113
90604,70877.0,40110,12197,12563,0.9,4.0,12197,33.93012,-118.01226,5.1,1755.0,650100.0,9.172227944184996,211,390,143,653,195
90605,75575.0,40189,10913,11174,0.5,2.5,10913,33.95209,-118.02085,5.4,1752.0,632300.0,8.366523321204102,255,389,321,495,172
90620,88082.0,46564,13697,13893,0.3,1.3,13697,33.84616,-118.01176,5.7,2206.0,693200.0,7.869939374673599,283,270,419,260,126
90630,92073.0,49965,16373,16748,0.5,2.8,16373,33.81814,-118.03814,5.7,2313.0,822500.0,8.933129147524246,225,231,321,237,102
90631,79500.0,69533,22394,23058,0.7,3.2,22394,33.94266,-117.95126,5.0,1872.0,716700.0,9.015094339622642,221,66,228,216,157
90638,87429.0,46967,15229,15589,0.5,3.6,15229,33.90236,-118.00907,5.6,1940.0,706600.0,8.081986526209839,274,264,321,347,130
90640,53615.0,62678,19782,20324,0.4,2.5,19782,34.01506,-118.111,4.7,1701.0,628600.0,11.724330877552923,99,105,381,148,325
90650,66453.0,102891,27836,28456,0.3,2.4,27836,33.90703,-118.08249,5.0,1860.0,593100.0,8.92510496140129,227,1,419,31,222
90660,65617.0,62013,16951,17348,0.5,2.2,16951,33.98868,-118.09111,4.9,1702.0,596500.0,9.090632000853438,218,112,321,241,232
90703,98934.0,49735,16080,16430,0.4,3.6,16080,33.86797,-118.06874,6.1,2735.0,860900.0,8.701760769806134,241,235,381,172,77
90706,55729.0,79179,24631,25219,0.4,2.2,24631,33.88802,-118.12709,4.4,1686.0,619400.0,11.114500529347378,125,37,381,92,311
